espn_name,team
Louisiana Tech Bulldogs,Louisiana Tech
Louisville,Louisville
Louisville Cardinals,Louisville
Maine,Maine
Maine Black Bears,Maine
Marist,Marist
Marist Red Foxes,Marist
Marshall,Marshall
Marshall Thundering Herd,Marshall
Maryland,Maryland
Maryland Terrapins,Maryland
Massachusetts,Massachusetts
Massachusetts Minutemen,Massachusetts
McNeese,McNeese
McNeese Cowboys,McNeese
Memphis,Memphis
Memphis Tigers,Memphis
Mercer,Mercer
Mercer Bears,Mercer
Mercyhurst,Mercyhurst
Mercyhurst Lakers,Mercyhurst
Merrimack,Merrimack
Merrimack Warriors,Merrimack
Miami,Miami
Miami (OH),Miami (OH)
Miami (OH) Redhawks,Miami (OH)
Miami Hurricanes,Miami
Michigan,Michigan
Michigan State,Michigan State
Michigan State Spartans,Michigan State
Michigan Wolverines,Michigan
Middle Tennessee,Middle Tennessee
Middle Tennessee Blue Raiders,Middle Tennessee
Minnesota,Minnesota
Minnesota Golden Gophers,Minnesota
Mississippi State,Mississippi State
Mississippi State Bulldogs,Mississippi State
Mississippi Valley State,Mississippi Valley State
Mississippi Valley State Delta Devils,Mississippi Valley State
Missouri,Missouri
Missouri State,Missouri State
Missouri State Bears,Missouri State
Missouri Tigers,Missouri
Monmouth,Monmouth
Monmouth Hawks,Monmouth
Montana,Montana
Montana Grizzlies,Montana
Montana State,Montana State
Montana State Bobcats,Montana State
Morehead State,Morehead State
Morehead State Eagles,Morehead State
Morgan State,Morgan State
Morgan State Bears,Morgan State
Murray State,Murray State
Murray State Racers,Murray State
NC State,NC State
NC State Wolfpack,NC State
Navy,Navy
Navy Midshipmen,Navy
Nebraska,Nebraska
Nebraska Cornhuskers,Nebraska
Nevada,Nevada
Nevada Wolf Pack,Nevada
New Hampshire,New Hampshire
New Hampshire Wildcats,New Hampshire
New Haven,New Haven
New Haven Chargers,New Haven
New Mexico,New Mexico
New Mexico Lobos,New Mexico
New Mexico State,New Mexico State
New Mexico State Aggies,New Mexico State
Nicholls,Nicholls
Nicholls Colonels,Nicholls
Norfolk State,Norfolk State
Norfolk State Spartans,Norfolk State
North Alabama,North Alabama
North Alabama Lions,North Alabama
North Carolina,North Carolina
North Carolina A&T,North Carolina A&T
North Carolina A&T Aggies,North Carolina A&T
North Carolina Central,North Carolina Central
North Carolina Central Eagles,North Carolina Central
North Carolina Tar Heels,North Carolina
North Dakota,North Dakota
North Dakota Fighting Hawks,North Dakota
North Dakota State,North Dakota State
North Dakota State Bison,North Dakota State
North Texas,North Texas
North Texas Mean Green,North Texas
Northern Arizona,Northern Arizona
Northern Arizona Lumberjacks,Northern Arizona
Northern Colorado,Northern Colorado
Northern Colorado Bears,Northern Colorado
Northern Illinois,Northern Illinois
Northern Illinois Huskies,Northern Illinois
Northern Iowa,Northern Iowa
Northern Iowa Panthers,Northern Iowa
Northwestern,Northwestern
Northwestern State,Northwestern State
Northwestern State Demons,Northwestern State
Northwestern Wildcats,Northwestern
Notre Dame,Notre Dame
Notre Dame Fighting Irish,Notre Dame
Ohio,Ohio
Ohio Bobcats,Ohio
Ohio State,Ohio State
Ohio State Buckeyes,Ohio State
Oklahoma,Oklahoma
Oklahoma Sooners,Oklahoma
Oklahoma State,Oklahoma State
Oklahoma State Cowboys,Oklahoma State
Old Dominion,Old Dominion
Old Dominion Monarchs,Old Dominion
Ole Miss,Ole Miss
Ole Miss Rebels,Ole Miss
Oregon,Oregon
Oregon Ducks,Oregon
Oregon State,Oregon State
Oregon State Beavers,Oregon State
Penn State,Penn State
Penn State Nittany Lions,Penn State
Pennsylvania,Pennsylvania
Pennsylvania Quakers,Pennsylvania
Pittsburgh,Pittsburgh
Pittsburgh Panthers,Pittsburgh
Portland State,Portland State
Portland State Vikings,Portland State
Prairie View A&M,Prairie View A&M
Prairie View A&M Panthers,Prairie View A&M
Presbyterian,Presbyterian
Presbyterian Blue Hose,Presbyterian
Princeton,Princeton
Princeton Tigers,Princeton
Purdue,Purdue
Purdue Boilermakers,Purdue
Rhode Island,Rhode Island
Rhode Island Rams,Rhode Island
Rice,Rice
Rice Owls,Rice
Richmond,Richmond
Richmond Spiders,Richmond
Robert Morris,Robert Morris
Robert Morris Colonials,Robert Morris
Rutgers,Rutgers
Rutgers Scarlet Knights,Rutgers
SE Louisiana,SE Louisiana
SE Louisiana Lions,SE Louisiana
SMU,SMU
SMU Mustangs,SMU
Sacramento State,Sacramento State
Sacramento State Hornets,Sacramento State
Sacred Heart,Sacred Heart
Sacred Heart Pioneers,Sacred Heart
Sam Houston,Sam Houston
Sam Houston Bearkats,Sam Houston
Samford,Samford
Samford Bulldogs,Samford
San Diego,San Diego
San Diego State,San Diego State
San Diego State Aztecs,San Diego State
San Diego Toreros,San Diego
San Jose State,San Jose State
San Jose State Spartans,San Jose State
South Alabama,South Alabama
South Alabama Jaguars,South Alabama
South Carolina,South Carolina
South Carolina Gamecocks,South Carolina
South Carolina State,South Carolina State
South Carolina State Bulldogs,South Carolina State
South Dakota,South Dakota
South Dakota Coyotes,South Dakota
South Dakota State,South Dakota State
South Dakota State Jackrabbits,South Dakota State
South Florida,South Florida
South Florida Bulls,South Florida
Southeast Missouri State,Southeast Missouri State
Southeast Missouri State Redhawks,Southeast Missouri State
Southern,Southern
Southern Illinois,Southern Illinois
Southern Illinois Salukis,Southern Illinois
Southern Jaguars,Southern
Southern Miss,Southern Miss
Southern Miss Golden Eagles,Southern Miss
Southern Utah,Southern Utah
Southern Utah Thunderbirds,Southern Utah
St. Thomas-Minnesota,St. Thomas-Minnesota
St. Thomas-Minnesota Tommies,St. Thomas-Minnesota
Stanford,Stanford
Stanford Cardinal,Stanford
Stephen F. Austin,Stephen F. Austin
Stephen F. Austin Lumberjacks,Stephen F. Austin
Stetson,Stetson
Stetson Hatters,Stetson
Stonehill,Stonehill
Stonehill Skyhawks,Stonehill
Stony Brook,Stony Brook
Stony Brook Seawolves,Stony Brook
Syracuse,Syracuse
Syracuse Orange,Syracuse
TCU,TCU
TCU Horned Frogs,TCU
Tarleton State,Tarleton State
Tarleton State Texans,Tarleton State
Temple,Temple
Temple Owls,Temple
Tennessee,Tennessee
Tennessee State,Tennessee State
Tennessee State Tigers,Tennessee State
Tennessee Tech,Tennessee Tech
Tennessee Tech Golden Eagles,Tennessee Tech
Tennessee Volunteers,Tennessee
Texas,Texas
Texas A&M,Texas A&M
Texas A&M Aggies,Texas A&M
Texas Longhorns,Texas
Texas Southern,Texas Southern
Texas Southern Tigers,Texas Southern
Texas State,Texas State
Texas State Bobcats,Texas State
Texas Tech,Texas Tech
Texas Tech Red Raiders,Texas Tech
The Citadel,The Citadel
The Citadel Bulldogs,The Citadel
Toledo,Toledo
Toledo Rockets,Toledo
Towson,Towson
Towson Tigers,Towson
Troy,Troy
Troy Trojans,Troy
Tulane,Tulane
Tulane Green Wave,Tulane
Tulsa,Tulsa
Tulsa Golden Hurricane,Tulsa
UAB,UAB
UAB Blazers,UAB
UAlbany,UAlbany
UAlbany Great Danes,UAlbany
UC Davis,UC Davis
UC Davis Aggies,UC Davis
UCF,UCF
UCF Knights,UCF
UCLA,UCLA
UCLA Bruins,UCLA
UConn,UConn
UConn Huskies,UConn
UL Monroe,UL Monroe
UL Monroe Warhawks,UL Monroe
UNLV,UNLV
UNLV Rebels,UNLV
USC,USC
USC Trojans,USC
UT Martin,UT Martin
UT Martin Skyhawks,UT Martin
UT Rio Grande Valley,UT Rio Grande Valley
UT Rio Grande Valley Vaqueros,UT Rio Grande Valley
UTEP,UTEP
UTEP Miners,UTEP
UTSA,UTSA
UTSA Roadrunners,UTSA
Utah,Utah
Utah State,Utah State
Utah State Aggies,Utah State
Utah Tech,Utah Tech
Utah Tech Trailblazers,Utah Tech
Utah Utes,Utah
VMI,VMI
VMI Keydets,VMI
Valparaiso,Valparaiso
Valparaiso Beacons,Valparaiso
Vanderbilt,Vanderbilt
Vanderbilt Commodores,Vanderbilt
Villanova,Villanova
Villanova Wildcats,Villanova
Virginia,Virginia
Virginia Cavaliers,Virginia
Virginia Tech,Virginia Tech
Virginia Tech Hokies,Virginia Tech
Wagner,Wagner
Wagner Seahawks,Wagner
Wake Forest,Wake Forest
Wake Forest Demon Deacons,Wake Forest
Washington,Washington
Washington Huskies,Washington
Washington State,Washington State
Washington State Cougars,Washington State
Weber State,Weber State
Weber State Wildcats,Weber State
West Florida,West Florida
West Florida Argonauts,West Florida
West Georgia,West Georgia
West Georgia Wolves,West Georgia
West Virginia,West Virginia
West Virginia Mountaineers,West Virginia
Western Carolina,Western Carolina
Western Carolina Catamounts,Western Carolina
Western Illinois,Western Illinois
Western Illinois Leathernecks,Western Illinois
Western Kentucky,Western Kentucky
Western Kentucky Hilltoppers,Western Kentucky
Western Michigan,Western Michigan
Western Michigan Broncos,Western Michigan
William & Mary,William & Mary
William & Mary Tribe,William & Mary
Wisconsin,Wisconsin
Wisconsin Badgers,Wisconsin
Wofford,Wofford
Wofford Terriers,Wofford
Wyoming,Wyoming
Wyoming Cowboys,Wyoming
Yale,Yale
Yale Bulldogs,Yale
Youngstown State,Youngstown State
Youngstown State Penguins,Youngstown State
